word_id,word,sentence_id,sentence
U-c1RT4IfL8_w,ashamed,U-c1RT4IfL8_e1,He was ashamed to admit to his mistake.
U-c1RT4IfL8_w,ashamed,U-c1RT4IfL8_e2,I felt deeply ashamed for my father's impoliteness.
U-c1RT4IfL8_w,ashamed,U-c1RT4IfL8_e3,I'm ashamed to be seen with you when you behave so badly!
U-c1RT4IfL8_w,ashamed,U-c1RT4IfL8_e4,She was ashamed to ask her brother for money.
jYVESnkt5pc_w,veracity,jYVESnkt5pc_e1,Doubts were cast on the veracity of her alibi.
jYVESnkt5pc_w,veracity,jYVESnkt5pc_e2,The chairman disallowed the veracity of his report.
jYVESnkt5pc_w,veracity,jYVESnkt5pc_e3,I don't doubt the veracity of your report.
jYVESnkt5pc_w,veracity,jYVESnkt5pc_e4,We have total confidence in the veracity of our research.
PcQgB9TbATk_w,maintenance,PcQgB9TbATk_e1,Old houses need a lot of maintenance.
J1xPH6Rugio_w,avail of,J1xPH6Rugio_e1,Guests are encouraged to avail themselves of the full range of hotel facilities.
J1xPH6Rugio_w,avail of,J1xPH6Rugio_e2,So what can Irish bands do to avail of the new possibilities?
J1xPH6Rugio_w,avail of,J1xPH6Rugio_e3,"My dear students, I encourage you to avail yourself of the campus library as much as possible."
J1xPH6Rugio_w,avail of,J1xPH6Rugio_e4,There are two ways to avail of cell phone service.
D9O50mQ7vRo_w,bestow,D9O50mQ7vRo_e1,The Queen has bestowed a knighthood on him.
D9O50mQ7vRo_w,bestow,D9O50mQ7vRo_e2,The university bestowed an honorary degree upon her.
D9O50mQ7vRo_w,bestow,D9O50mQ7vRo_e3,"During the ceremony, the prime minister will bestow medals of honor to the brave soldiers who rescued their comrades."
D9O50mQ7vRo_w,bestow,D9O50mQ7vRo_e4,The country's highest medal was bestowed upon him for heroism.
gCckaUKv4WM_w,suitable,gCckaUKv4WM_e1,The film is not suitable for children. 
gCckaUKv4WM_w,suitable,gCckaUKv4WM_e2,He hasn't any suitable shoes for the wedding. 
gCckaUKv4WM_w,suitable,gCckaUKv4WM_e3,He was just not suitable for the job. 
gCckaUKv4WM_w,suitable,gCckaUKv4WM_e4,Cotton is suitable for wear in summer.
c-PT1cEougQ_w,adopt,c-PT1cEougQ_e1,They've adopted a baby girl.
c-PT1cEougQ_w,adopt,c-PT1cEougQ_e2,I have decided to adopt a child
c-PT1cEougQ_w,adopt,c-PT1cEougQ_e3,She is hoping to adopt Australian nationality.
c-PT1cEougQ_w,adopt,c-PT1cEougQ_e4,"They have no children of their own, but they're hoping to adopt."
Miy-F4TYnso_w,agency,Miy-F4TYnso_e1,He spoke in the person of Xinhua News Agency.
Miy-F4TYnso_w,agency,Miy-F4TYnso_e2,I went to an employment agency last week.
Miy-F4TYnso_w,agency,Miy-F4TYnso_e3,The French news agency put out a statement from the Trade Minister.
Miy-F4TYnso_w,agency,Miy-F4TYnso_e4,Anne chose an upmarket agency aimed at professional people.
pmwPef49KGE_w,convivial,pmwPef49KGE_e1,The mood was relaxed and convivial.
pmwPef49KGE_w,convivial,pmwPef49KGE_e2,"Dury is convivial, affable and engaging."
pmwPef49KGE_w,convivial,pmwPef49KGE_e3,The atmosphere was quite convivial.
pmwPef49KGE_w,convivial,pmwPef49KGE_e4,"Eat slowly in convivial surroundings and, above all, enjoy your food."
WX4SAl0w4fA_w,embarrassed,WX4SAl0w4fA_e1,He was so embarrassed - his face went brick-red .
WX4SAl0w4fA_w,embarrassed,WX4SAl0w4fA_e2,"They wolf-whistled at me, and I was so embarrassed I tripped up."
WX4SAl0w4fA_w,embarrassed,WX4SAl0w4fA_e3,He was embarrassed by many debts.
WX4SAl0w4fA_w,embarrassed,WX4SAl0w4fA_e4,She looked a little embarrassed.
yYAuTrPtnxc_w,concerned,yYAuTrPtnxc_e1,I'm a bit concerned about/for your health.
scJSFdl6vqk_w,quandary,scJSFdl6vqk_e1,"I've had two job offers, and I'm in a real quandary about/over which one to accept."
HStLfm7kKck_w,crucial,HStLfm7kKck_e1,Her work has been crucial to the project's success.
HStLfm7kKck_w,crucial,HStLfm7kKck_e2,Teachers are crucial to the success of the school.
HStLfm7kKck_w,crucial,HStLfm7kKck_e3,Salt is crucial in cooking.
HStLfm7kKck_w,crucial,HStLfm7kKck_e4,It's crucial that we arrive before 8 o'clock.
-hZpPIT6N4U_w,reflect,-hZpPIT6N4U_e1,She felt she needed time to reflect on what to do next.
h8-4K-hPOW8_w,discussion,h8-4K-hPOW8_e1,They had discussions with Councillor on housing issues and living conditions.
tatHTjuxlgM_w,laud,tatHTjuxlgM_e1,The president lauded the rise of market economies around the world.
tatHTjuxlgM_w,laud,tatHTjuxlgM_e2,The German leadership lauded the Russian initiative.
tatHTjuxlgM_w,laud,tatHTjuxlgM_e3,He was lauded for his courage.
tatHTjuxlgM_w,laud,tatHTjuxlgM_e4,The soldier is lauded for his bravery.
