uid,text,category,video_path,exists,extension,word,word_id,relation_type,source_csv,example_count,description_count
0FUZJWoZ7Ho_e1,The story spends too much time on trivial matters.,example_sentence,,0,,trivial,0FUZJWoZ7Ho_w,contains_word,word-presence-dataset_v1.1.csv,0,0
0gXoXdqFarg_e1,"She received Rs 40,000 in compensation for a lost eye.",example_sentence,,0,,compensation,0gXoXdqFarg_w,contains_word,word-presence-dataset_v1.1.csv,0,0
0gXoXdqFarg_e2,You should claim/seek compensation.,example_sentence,,0,,compensation,0gXoXdqFarg_w,contains_word,word-presence-dataset_v1.1.csv,0,0
0gXoXdqFarg_e3,Going to court to obtain compensation is a long process.,example_sentence,,0,,compensation,0gXoXdqFarg_w,contains_word,word-presence-dataset_v1.1.csv,0,0
0gXoXdqFarg_e4,You'll have to spend a small fortune in legal fees if you decide to sue for compensation.,example_sentence,,0,,compensation,0gXoXdqFarg_w,contains_word,word-presence-dataset_v1.1.csv,0,0
0k_QNlHob74_e1,Our car broke down and we had to push it off the road.,example_sentence,,0,,break down,0k_QNlHob74_w,contains_word,word-presence-dataset_v1.1.csv,0,0
0k_QNlHob74_e2,The school bus broke down and had to be towed to the nearest garage.,example_sentence,,0,,break down,0k_QNlHob74_w,contains_word,word-presence-dataset_v1.1.csv,0,0
0k_QNlHob74_e3,Oh no - has your washing machine broken down again?,example_sentence,,0,,break down,0k_QNlHob74_w,contains_word,word-presence-dataset_v1.1.csv,0,0
0pth6-vW81w_e1,You need to be more decisive,example_sentence,,0,,decisive,0pth6-vW81w_w,contains_word,word-presence-dataset_v1.1.csv,0,0
0pth6-vW81w_e2,Man is a decisive factor in doing everything.,example_sentence,,0,,decisive,0pth6-vW81w_w,contains_word,word-presence-dataset_v1.1.csv,0,0
0pth6-vW81w_e3,The government must take decisive action on gun control.,example_sentence,,0,,decisive,0pth6-vW81w_w,contains_word,word-presence-dataset_v1.1.csv,0,0
0pth6-vW81w_e4,In business Ajay was clear-headed and decisive.,example_sentence,,0,,decisive,0pth6-vW81w_w,contains_word,word-presence-dataset_v1.1.csv,0,0
0u6f9dxpCAI_e1,"The matter is closed, "" said the health minister.",example_sentence,,0,,minister,0u6f9dxpCAI_w,contains_word,word-presence-dataset_v1.1.csv,0,0
0WtA2tG2DYA_e1,He's never had much tact and people don't like his blunt manner.,example_sentence,,0,,tact,0WtA2tG2DYA_w,contains_word,word-presence-dataset_v1.1.csv,0,0
0YoN6sdJ84Y_e1,She's not really hurt - she's only pretending.,example_sentence,,0,,pretend,0YoN6sdJ84Y_w,contains_word,word-presence-dataset_v1.1.csv,0,0
0YoN6sdJ84Y_e2,I used to pretend when I was young.,example_sentence,,0,,pretend,0YoN6sdJ84Y_w,contains_word,word-presence-dataset_v1.1.csv,0,0
1A_qjxuOGNg_e1,She had no qualms about lying to the police.,example_sentence,,0,,qulam,1A_qjxuOGNg_w,contains_word,word-presence-dataset_v1.1.csv,0,0
1BN1txMJPpo_e1,"I don't like potatoes,"" he moaned.",example_sentence,,0,,moan,1BN1txMJPpo_w,contains_word,word-presence-dataset_v1.1.csv,0,0
1k-AsMjTZbI_e1,We must take action (= do something) to deal with the problem before it spreads to other areas.,example_sentence,,0,,action,1k-AsMjTZbI_w,contains_word,word-presence-dataset_v1.1.csv,0,0
1k-AsMjTZbI_e2,The army are said to be ready for action.,example_sentence,,0,,action,1k-AsMjTZbI_w,contains_word,word-presence-dataset_v1.1.csv,0,0
1Kus_VFkXlk_e1,"If the pain persists, consult a doctor.",example_sentence,,0,,persist,1Kus_VFkXlk_w,contains_word,word-presence-dataset_v1.1.csv,0,0
1Kus_VFkXlk_e2,The cold weather is set to persist throughout the week.,example_sentence,,0,,persist,1Kus_VFkXlk_w,contains_word,word-presence-dataset_v1.1.csv,0,0
1Kus_VFkXlk_e3,Must you persist in blaming yourself for what happened?,example_sentence,,0,,persist,1Kus_VFkXlk_w,contains_word,word-presence-dataset_v1.1.csv,0,0
1Kus_VFkXlk_e4,"Despite this accumulation of evidence, the government persisted in doing nothing.",example_sentence,,0,,persist,1Kus_VFkXlk_w,contains_word,word-presence-dataset_v1.1.csv,0,0
1TqHCiBoJMs_e1,Jack has obtained a medical qualification.,example_sentence,,0,,obtain,1TqHCiBoJMs_w,contains_word,word-presence-dataset_v1.1.csv,0,0
1TqHCiBoJMs_e2,She was finally able to obtain legal possession of the house.,example_sentence,,0,,obtain,1TqHCiBoJMs_w,contains_word,word-presence-dataset_v1.1.csv,0,0
1TqHCiBoJMs_e3,Admission is obtained by written application.,example_sentence,,0,,obtain,1TqHCiBoJMs_w,contains_word,word-presence-dataset_v1.1.csv,0,0
1TqHCiBoJMs_e4,He obtained his first job through the milk round.,example_sentence,,0,,obtain,1TqHCiBoJMs_w,contains_word,word-presence-dataset_v1.1.csv,0,0
1y33mnpgqyE_e1,The bill amount Rs.20000 includes tax and service.,example_sentence,,0,,include,1y33mnpgqyE_w,contains_word,word-presence-dataset_v1.1.csv,0,0
21Toxytaq_A_e1,More money is needed to bolster the industry.,example_sentence,,0,,bolster,21Toxytaq_A_w,contains_word,word-presence-dataset_v1.1.csv,0,0
21Toxytaq_A_e2,They need to do something to bolster their image,example_sentence,,0,,bolster,21Toxytaq_A_w,contains_word,word-presence-dataset_v1.1.csv,0,0
21Toxytaq_A_e3,The government borrowed money to bolster up the economy.,example_sentence,,0,,bolster,21Toxytaq_A_w,contains_word,word-presence-dataset_v1.1.csv,0,0
21Toxytaq_A_e4,He is making a bold attempt to bolster the territory's confidence.,example_sentence,,0,,bolster,21Toxytaq_A_w,contains_word,word-presence-dataset_v1.1.csv,0,0
29HmB-dzhZo_e1,"He was on his knees, pleading for mercy/forgiveness.",example_sentence,,0,,plead,29HmB-dzhZo_w,contains_word,word-presence-dataset_v1.1.csv,0,0
2A5tpFkt8ic_e1,She seems to exult in her power.,example_sentence,,0,,exult,2A5tpFkt8ic_w,contains_word,word-presence-dataset_v1.1.csv,0,0
2BPZs83dBQg_e1,"I didn't particularly want to go, but I had to.",example_sentence,,0,,particularly,2BPZs83dBQg_w,contains_word,word-presence-dataset_v1.1.csv,0,0
2BPZs83dBQg_e2,I was never a particularly academic child.,example_sentence,,0,,particularly,2BPZs83dBQg_w,contains_word,word-presence-dataset_v1.1.csv,0,0
2BPZs83dBQg_e3,They don't seem particularly worried about the situation.,example_sentence,,0,,particularly,2BPZs83dBQg_w,contains_word,word-presence-dataset_v1.1.csv,0,0
2BPZs83dBQg_e4,"His books aren't particularly well-written, but they're always entertaining.",example_sentence,,0,,particularly,2BPZs83dBQg_w,contains_word,word-presence-dataset_v1.1.csv,0,0
2Fq4W-J5MZw_e1,She is continually abusing her position/authority by getting other people to do things for her.,example_sentence,,0,,abuse,2Fq4W-J5MZw_w,contains_word,word-presence-dataset_v1.1.csv,0,0
2H-t8bYQGUE_e1,My work time is flexible.,example_sentence,,0,,flexible,2H-t8bYQGUE_w,contains_word,word-presence-dataset_v1.1.csv,0,0
2H-t8bYQGUE_e2,You should learn to be flexible.,example_sentence,,0,,flexible,2H-t8bYQGUE_w,contains_word,word-presence-dataset_v1.1.csv,0,0
2H-t8bYQGUE_e3,We should use our resources in a flexible way.,example_sentence,,0,,flexible,2H-t8bYQGUE_w,contains_word,word-presence-dataset_v1.1.csv,0,0
2H-t8bYQGUE_e4,We need to make the working day more flexible,example_sentence,,0,,flexible,2H-t8bYQGUE_w,contains_word,word-presence-dataset_v1.1.csv,0,0
2ldqLNKUekA_e1,Politeness is traditionally part of the British character.,example_sentence,,0,,character,2ldqLNKUekA_w,contains_word,word-presence-dataset_v1.1.csv,0,0
2ldqLNKUekA_e2,It would be very out of character (= not typical) of her to lie.,example_sentence,,0,,character,2ldqLNKUekA_w,contains_word,word-presence-dataset_v1.1.csv,0,0
2ldqLNKUekA_e3,It's not in his character to be (= he is not usually) jealous.,example_sentence,,0,,character,2ldqLNKUekA_w,contains_word,word-presence-dataset_v1.1.csv,0,0
2ldqLNKUekA_e4,One of the joys of being a parent is watching the child's character develop.,example_sentence,,0,,character,2ldqLNKUekA_w,contains_word,word-presence-dataset_v1.1.csv,0,0
2LUrrdA633g_e1,I cannot predict what will happen next year.,example_sentence,,0,,predict,2LUrrdA633g_w,contains_word,word-presence-dataset_v1.1.csv,0,0
2LUrrdA633g_e2,Heavy snowfalls are predicted for tonight and tomorrow.,example_sentence,,0,,predict,2LUrrdA633g_w,contains_word,word-presence-dataset_v1.1.csv,0,0
2LUrrdA633g_e3,No one can predict when the disease will strike again.,example_sentence,,0,,predict,2LUrrdA633g_w,contains_word,word-presence-dataset_v1.1.csv,0,0
2LUrrdA633g_e4,We can predict changes in climate with a surprising degree of accuracy.,example_sentence,,0,,predict,2LUrrdA633g_w,contains_word,word-presence-dataset_v1.1.csv,0,0
2nJ6ahb45OU_e1,Bob and I have been buddies for years.,example_sentence,,0,,buddy,2nJ6ahb45OU_w,contains_word,word-presence-dataset_v1.1.csv,0,0
2nJ6ahb45OU_e2,We were great buddies and did many things together.,example_sentence,,0,,buddy,2nJ6ahb45OU_w,contains_word,word-presence-dataset_v1.1.csv,0,0
2nJ6ahb45OU_e3,They had become the best of buddies.,example_sentence,,0,,buddy,2nJ6ahb45OU_w,contains_word,word-presence-dataset_v1.1.csv,0,0
2nJ6ahb45OU_e4,"Hi buddy, I miss you too.",example_sentence,,0,,buddy,2nJ6ahb45OU_w,contains_word,word-presence-dataset_v1.1.csv,0,0
2_qktKmVcNQ_e1,She was a pretty savvy woman,example_sentence,,0,,savvy,2_qktKmVcNQ_w,contains_word,word-presence-dataset_v1.1.csv,0,0
2_qktKmVcNQ_e2,Both companies are founded upon savvy business ideas.,example_sentence,,0,,savvy,2_qktKmVcNQ_w,contains_word,word-presence-dataset_v1.1.csv,0,0
2_qktKmVcNQ_e3,Children today are much savvier than they used to be.,example_sentence,,0,,savvy,2_qktKmVcNQ_w,contains_word,word-presence-dataset_v1.1.csv,0,0
